Part_Name,Material_Composition,Age,Condition,Location,Manufacturer,Aircraft_Model
Engine,Steel,35,Used,Europe,Gulfstream,G650
Engine,Titanium,8,Used,South America,Airbus,A320
Wing,Titanium,32,New,Australia,Airbus,G650
Avionics,Titanium,32,New,Asia,Gulfstream,A320
Avionics,Aluminum,43,New,Australia,Embraer,Citation X
Avionics,Aluminum,36,Used,Africa,Cessna,E175
Landing Gear,Titanium,31,Used,Australia,Boeing,737
Engine,Composite,41,New,South America,Cessna,737
Avionics,Composite,48,New,Africa,Gulfstream,E175
Avionics,Composite,42,Used,North America,Gulfstream,E175
Engine,Aluminum,4,New,Africa,Gulfstream,CRJ900
Landing Gear,Titanium,2,New,Asia,Embraer,E175
Landing Gear,Composite,21,Used,Africa,Boeing,737
Landing Gear,Steel,13,Used,South America,Airbus,A320
Wing,Aluminum,9,New,North America,Embraer,E175
Wing,Composite,3,New,North America,Gulfstream,Citation X
Landing Gear,Composite,35,Used,Africa,Bombardier,A320
Avionics,Steel,4,New,Europe,Cessna,CRJ900
Landing Gear,Aluminum,4,New,Asia,Boeing,A320
Avionics,Steel,6,Used,Australia,Embraer,E175
Wing,Steel,34,Used,Europe,Embraer,A320
Engine,Composite,40,New,Asia,Gulfstream,737
Fuselage,Aluminum,32,New,Asia,Gulfstream,Citation X
Fuselage,Composite,8,New,Australia,Bombardier,G650
Fuselage,Steel,42,Used,South America,Airbus,CRJ900
Fuselage,Steel,1,Used,Asia,Bombardier,CRJ900
Engine,Composite,6,Used,North America,Boeing,G650
Engine,Composite,32,Used,Asia,Embraer,E175
Wing,Titanium,30,Used,Africa,Boeing,E175
Landing Gear,Aluminum,17,Used,Africa,Airbus,Citation X
Engine,Aluminum,5,Used,Africa,Bombardier,Citation X
Wing,Composite,21,New,North America,Airbus,737
Fuselage,Steel,15,New,Asia,Bombardier,CRJ900
Landing Gear,Composite,37,New,Africa,Airbus,A320
Avionics,Composite,45,Used,South America,Bombardier,E175
Fuselage,Composite,4,New,Asia,Cessna,CRJ900
Engine,Aluminum,30,Used,Australia,Bombardier,A320
Engine,Titanium,20,Used,Asia,Airbus,Citation X
Fuselage,Aluminum,35,Used,Africa,Boeing,737
Avionics,Aluminum,2,New,Africa,Cessna,737
Engine,Aluminum,47,Used,Africa,Airbus,737
Wing,Titanium,20,New,South America,Embraer,A320
Wing,Titanium,13,Used,Africa,Bombardier,737
Engine,Steel,35,New,Europe,Gulfstream,A320
Wing,Composite,14,New,South America,Gulfstream,E175
Wing,Steel,12,New,Australia,Cessna,737
Engine,Steel,15,New,North America,Cessna,E175
Landing Gear,Steel,1,New,Europe,Bombardier,G650
Landing Gear,Aluminum,32,New,Europe,Embraer,Citation X
Fuselage,Composite,49,Used,Europe,Bombardier,A320
Avionics,Composite,19,New,Australia,Bombardier,Citation X
Avionics,Aluminum,26,Used,Europe,Embraer,Citation X
Wing,Composite,6,New,North America,Airbus,737
Wing,Composite,28,New,Australia,Gulfstream,Citation X
Fuselage,Steel,45,New,Australia,Bombardier,G650
Fuselage,Aluminum,32,New,South America,Airbus,A320
Fuselage,Aluminum,37,New,South America,Gulfstream,Citation X
Fuselage,Aluminum,9,New,Africa,Boeing,CRJ900
Avionics,Titanium,17,Used,Australia,Cessna,Citation X
Fuselage,Titanium,39,Used,North America,Embraer,737
Avionics,Steel,22,New,Australia,Airbus,A320
Avionics,Composite,40,New,Africa,Gulfstream,CRJ900
Landing Gear,Titanium,13,New,Australia,Boeing,CRJ900
Fuselage,Aluminum,22,Used,North America,Bombardier,G650
Landing Gear,Titanium,1,New,Australia,Embraer,CRJ900
Engine,Steel,10,New,Australia,Bombardier,A320
Engine,Titanium,22,Used,Asia,Embraer,A320
Wing,Steel,24,Used,North America,Bombardier,E175
Landing Gear,Composite,34,New,Australia,Bombardier,737
Fuselage,Titanium,43,Used,North America,Cessna,E175
Engine,Composite,27,New,Europe,Embraer,Citation X
Avionics,Aluminum,5,New,Asia,Airbus,A320
Engine,Titanium,24,Used,Asia,Cessna,CRJ900
Fuselage,Aluminum,47,Used,North America,Embraer,A320
Engine,Titanium,8,New,North America,Airbus,G650
Avionics,Aluminum,3,New,Europe,Boeing,G650
Wing,Composite,22,New,Africa,Embraer,A320
Landing Gear,Aluminum,31,Used,South America,Bombardier,CRJ900
Engine,Titanium,4,New,North America,Bombardier,CRJ900
Fuselage,Composite,23,New,Europe,Airbus,737
Avionics,Titanium,40,New,Australia,Cessna,E175
Fuselage,Titanium,17,New,North America,Bombardier,Citation X
Avionics,Aluminum,10,New,North America,Boeing,A320
Avionics,Aluminum,31,New,North America,Airbus,CRJ900
Wing,Steel,31,Used,Australia,Boeing,737
Wing,Steel,11,New,North America,Bombardier,CRJ900
Wing,Titanium,16,Used,Australia,Cessna,E175
Engine,Titanium,5,Used,Europe,Cessna,A320
Avionics,Composite,21,New,South America,Cessna,737
Avionics,Composite,32,New,North America,Boeing,G650
Engine,Aluminum,11,Used,Africa,Gulfstream,CRJ900
Wing,Composite,26,Used,Europe,Boeing,E175
Engine,Composite,15,New,Asia,Bombardier,E175
Landing Gear,Composite,24,New,South America,Airbus,737
Wing,Composite,10,Used,Europe,Bombardier,CRJ900
Landing Gear,Composite,13,New,Asia,Embraer,A320
Wing,Aluminum,43,Used,Europe,Boeing,A320
Wing,Titanium,34,New,Africa,Bombardier,CRJ900
Wing,Aluminum,13,New,Europe,Boeing,G650
Fuselage,Titanium,23,New,Australia,Embraer,G650
Wing,Aluminum,43,New,Europe,Airbus,E175
Engine,Composite,4,Used,Asia,Embraer,G650
Fuselage,Steel,24,New,North America,Cessna,A320
Engine,Steel,2,Used,Australia,Embraer,Citation X
Wing,Steel,39,Used,South America,Cessna,Citation X
Avionics,Titanium,21,New,Europe,Boeing,A320
Landing Gear,Composite,37,New,Africa,Airbus,737
Engine,Composite,46,New,Asia,Airbus,G650
Wing,Steel,28,Used,North America,Boeing,E175
Avionics,Aluminum,4,New,North America,Airbus,A320
Avionics,Titanium,44,New,Africa,Embraer,A320
Avionics,Steel,14,New,Asia,Boeing,G650
Engine,Composite,33,New,Asia,Bombardier,A320
Avionics,Aluminum,17,Used,Africa,Bombardier,G650
Avionics,Steel,34,Used,South America,Gulfstream,CRJ900
Avionics,Titanium,10,Used,South America,Gulfstream,E175
Engine,Aluminum,26,New,Australia,Embraer,A320
Fuselage,Steel,8,Used,Africa,Gulfstream,G650
Fuselage,Aluminum,35,Used,South America,Bombardier,Citation X
Fuselage,Aluminum,35,Used,South America,Embraer,E175
Engine,Composite,29,New,Asia,Embraer,CRJ900
Engine,Composite,43,Used,South America,Gulfstream,A320
Fuselage,Composite,8,Used,Africa,Boeing,A320
Avionics,Aluminum,4,New,Europe,Gulfstream,G650
Engine,Composite,4,Used,Australia,Boeing,Citation X
Engine,Titanium,4,Used,Europe,Gulfstream,737
Landing Gear,Composite,26,Used,North America,Cessna,Citation X
Avionics,Composite,42,Used,Europe,Airbus,CRJ900
Wing,Aluminum,46,Used,Australia,Bombardier,A320
Engine,Titanium,16,New,Africa,Embraer,737
Avionics,Titanium,18,New,South America,Gulfstream,A320
Fuselage,Aluminum,49,Used,Europe,Gulfstream,CRJ900
Fuselage,Steel,24,Used,Australia,Boeing,G650
Engine,Steel,5,Used,North America,Gulfstream,G650
Avionics,Titanium,48,Used,Asia,Bombardier,Citation X
Fuselage,Aluminum,10,New,South America,Bombardier,737
Wing,Aluminum,30,Used,North America,Embraer,A320
Engine,Aluminum,15,New,North America,Boeing,Citation X
Fuselage,Composite,46,New,Europe,Boeing,E175
Avionics,Titanium,37,New,Africa,Embraer,737
Fuselage,Aluminum,20,Used,North America,Gulfstream,Citation X
Engine,Aluminum,40,Used,Australia,Boeing,CRJ900
Landing Gear,Aluminum,28,New,South America,Embraer,G650
Wing,Composite,9,Used,Asia,Gulfstream,737
Engine,Composite,28,Used,Europe,Gulfstream,CRJ900
Landing Gear,Steel,14,New,Africa,Boeing,737
Wing,Composite,44,New,South America,Cessna,Citation X
Fuselage,Titanium,37,New,Australia,Cessna,Citation X
Fuselage,Steel,1,New,North America,Bombardier,E175
Landing Gear,Composite,17,Used,Australia,Boeing,A320
Landing Gear,Aluminum,31,New,Asia,Boeing,Citation X
Engine,Composite,6,New,Asia,Cessna,Citation X
Avionics,Composite,17,New,Europe,Embraer,Citation X
Wing,Titanium,38,New,Europe,Boeing,737
Engine,Aluminum,42,New,South America,Airbus,A320
Engine,Aluminum,47,New,Australia,Airbus,CRJ900
Engine,Aluminum,28,New,Australia,Cessna,A320
Fuselage,Steel,7,New,Australia,Bombardier,E175
Wing,Composite,23,New,Asia,Embraer,CRJ900
Landing Gear,Composite,2,Used,Asia,Bombardier,CRJ900
Fuselage,Titanium,25,Used,North America,Cessna,CRJ900
Landing Gear,Composite,45,New,Africa,Airbus,A320
Engine,Titanium,38,New,Europe,Airbus,CRJ900
Avionics,Titanium,23,New,Australia,Cessna,A320
Avionics,Aluminum,29,New,Africa,Bombardier,E175
Engine,Titanium,33,New,Asia,Gulfstream,A320
Landing Gear,Titanium,46,Used,South America,Cessna,G650
Engine,Steel,6,New,Asia,Bombardier,Citation X
Landing Gear,Composite,18,Used,Australia,Boeing,737
Avionics,Steel,5,New,South America,Embraer,A320
Engine,Composite,47,New,Africa,Embraer,CRJ900
Engine,Steel,12,Used,Asia,Embraer,737
Fuselage,Aluminum,34,Used,North America,Embraer,CRJ900
Engine,Composite,26,New,South America,Airbus,CRJ900
Landing Gear,Steel,25,Used,Europe,Gulfstream,737
Fuselage,Aluminum,1,New,South America,Gulfstream,A320
Landing Gear,Steel,33,Used,South America,Boeing,A320
Engine,Composite,8,Used,Europe,Cessna,CRJ900
Avionics,Aluminum,26,Used,Europe,Boeing,CRJ900
Engine,Steel,47,New,South America,Cessna,G650
Landing Gear,Titanium,22,New,Asia,Gulfstream,E175
Avionics,Steel,35,New,North America,Cessna,Citation X
Avionics,Titanium,4,Used,Europe,Boeing,Citation X
Fuselage,Composite,15,Used,Africa,Embraer,E175
Avionics,Composite,41,Used,Africa,Gulfstream,737
Fuselage,Steel,49,New,Asia,Cessna,737
Avionics,Composite,36,New,Africa,Airbus,CRJ900
Landing Gear,Composite,11,New,Europe,Airbus,E175
Landing Gear,Titanium,7,New,Australia,Cessna,CRJ900
Engine,Aluminum,25,New,Europe,Boeing,G650
Wing,Composite,23,Used,Asia,Airbus,G650
Wing,Composite,12,Used,Africa,Airbus,737
Engine,Composite,15,New,South America,Embraer,CRJ900
Fuselage,Composite,14,New,Asia,Airbus,Citation X
Wing,Aluminum,49,New,Asia,Cessna,CRJ900
Wing,Titanium,41,Used,Europe,Cessna,E175
Engine,Aluminum,28,New,Africa,Airbus,Citation X
Engine,Aluminum,37,Used,Europe,Airbus,737
Fuselage,Composite,15,Used,Australia,Airbus,G650
Avionics,Composite,36,New,Asia,Gulfstream,A320
Avionics,Titanium,32,New,Europe,Airbus,G650
Fuselage,Aluminum,45,Used,North America,Bombardier,CRJ900
Engine,Aluminum,27,Used,Australia,Gulfstream,737
Engine,Steel,16,New,North America,Boeing,G650
Engine,Titanium,18,New,North America,Embraer,A320
Landing Gear,Aluminum,31,Used,Asia,Cessna,G650
Wing,Composite,26,Used,Europe,Boeing,A320
Landing Gear,Composite,21,Used,Africa,Cessna,G650
Fuselage,Titanium,41,Used,South America,Gulfstream,A320
Engine,Aluminum,20,New,Africa,Gulfstream,A320
Wing,Titanium,18,Used,Australia,Bombardier,737
Engine,Composite,45,Used,Asia,Gulfstream,Citation X
Avionics,Steel,42,Used,Australia,Embraer,G650
Fuselage,Steel,27,Used,South America,Boeing,G650
Fuselage,Steel,19,Used,South America,Gulfstream,G650
Wing,Titanium,21,Used,Africa,Bombardier,737
Engine,Aluminum,23,Used,North America,Gulfstream,737
Avionics,Steel,34,Used,North America,Boeing,A320
Landing Gear,Aluminum,20,New,North America,Airbus,CRJ900
Fuselage,Steel,35,Used,South America,Bombardier,737
Avionics,Composite,2,Used,Africa,Gulfstream,737
Fuselage,Aluminum,23,Used,Africa,Embraer,A320
Wing,Steel,40,New,North America,Boeing,CRJ900
Landing Gear,Titanium,13,Used,Europe,Cessna,737
Wing,Composite,38,New,North America,Cessna,Citation X
Wing,Steel,42,New,Australia,Airbus,CRJ900
Wing,Aluminum,24,New,South America,Cessna,CRJ900
Avionics,Titanium,28,New,Australia,Embraer,Citation X
Avionics,Titanium,37,Used,South America,Bombardier,Citation X
Landing Gear,Composite,4,New,Asia,Gulfstream,CRJ900
Wing,Steel,18,New,South America,Airbus,Citation X
Engine,Composite,29,Used,Australia,Embraer,CRJ900
Landing Gear,Composite,0,New,Asia,Bombardier,737
Engine,Steel,41,New,Africa,Bombardier,G650
Landing Gear,Steel,37,Used,Europe,Boeing,E175
Fuselage,Titanium,34,Used,North America,Airbus,G650
Fuselage,Titanium,48,New,Asia,Embraer,E175
Engine,Steel,18,New,Africa,Embraer,E175
Engine,Titanium,48,Used,Africa,Embraer,E175
Wing,Composite,30,Used,Australia,Embraer,A320
Landing Gear,Titanium,1,New,Australia,Embraer,A320
Engine,Steel,28,Used,Africa,Cessna,737
Landing Gear,Steel,30,New,Africa,Cessna,G650
Landing Gear,Titanium,38,New,Africa,Bombardier,737
Engine,Composite,37,Used,Africa,Bombardier,737
Landing Gear,Aluminum,22,Used,Asia,Airbus,737
Fuselage,Composite,15,New,Africa,Embraer,CRJ900
Fuselage,Titanium,24,Used,Australia,Cessna,CRJ900
Landing Gear,Composite,42,New,South America,Bombardier,G650
Fuselage,Steel,20,New,North America,Bombardier,Citation X
Avionics,Aluminum,5,Used,Africa,Gulfstream,Citation X
Engine,Titanium,48,Used,Europe,Embraer,Citation X
Avionics,Aluminum,12,New,Europe,Embraer,CRJ900
Engine,Titanium,2,Used,Europe,Embraer,CRJ900
Wing,Aluminum,25,Used,North America,Gulfstream,737
Wing,Aluminum,11,Used,Australia,Cessna,A320
Engine,Composite,26,New,Australia,Airbus,A320
Fuselage,Aluminum,32,Used,Africa,Embraer,E175
Landing Gear,Composite,1,Used,North America,Bombardier,G650
Landing Gear,Steel,33,Used,South America,Boeing,G650
Avionics,Steel,11,New,North America,Embraer,A320
Landing Gear,Steel,30,New,Australia,Airbus,737
Landing Gear,Aluminum,29,Used,South America,Gulfstream,A320
Avionics,Composite,16,Used,Africa,Embraer,E175
Landing Gear,Aluminum,30,New,Europe,Embraer,A320
Fuselage,Steel,28,New,Australia,Bombardier,E175
Avionics,Aluminum,45,New,Europe,Boeing,737
Avionics,Titanium,25,New,North America,Bombardier,737
Landing Gear,Composite,28,New,Africa,Bombardier,CRJ900
Engine,Aluminum,25,New,Europe,Embraer,CRJ900
Wing,Composite,35,Used,South America,Embraer,G650
Avionics,Composite,22,New,Africa,Embraer,Citation X
Fuselage,Steel,8,New,Europe,Cessna,E175
Engine,Composite,2,New,Africa,Embraer,G650
Landing Gear,Titanium,3,New,North America,Boeing,G650
Wing,Aluminum,28,New,North America,Cessna,Citation X
Avionics,Titanium,36,New,North America,Airbus,A320
Landing Gear,Titanium,42,New,Europe,Gulfstream,E175
Avionics,Aluminum,15,Used,North America,Gulfstream,E175
Engine,Aluminum,23,New,Australia,Gulfstream,G650
Fuselage,Aluminum,9,Used,Asia,Gulfstream,Citation X
Fuselage,Steel,2,Used,Australia,Boeing,CRJ900
Engine,Titanium,15,New,Australia,Airbus,737
Fuselage,Aluminum,45,Used,Australia,Airbus,Citation X
Wing,Aluminum,1,New,Africa,Embraer,A320
Avionics,Aluminum,41,Used,Asia,Boeing,E175
Wing,Titanium,28,Used,North America,Embraer,Citation X
Wing,Aluminum,22,Used,Africa,Airbus,CRJ900
Wing,Composite,31,New,Asia,Gulfstream,Citation X
Avionics,Steel,3,New,Africa,Boeing,G650
Engine,Steel,25,New,Europe,Embraer,A320
Landing Gear,Steel,3,New,North America,Bombardier,Citation X
Engine,Aluminum,28,Used,Asia,Bombardier,Citation X
Fuselage,Composite,5,New,Africa,Cessna,CRJ900
Wing,Aluminum,3,New,Australia,Boeing,Citation X
Avionics,Composite,49,Used,Europe,Bombardier,CRJ900
Landing Gear,Aluminum,6,New,South America,Gulfstream,CRJ900
Landing Gear,Steel,20,Used,North America,Cessna,G650
Fuselage,Aluminum,43,New,North America,Bombardier,A320
Landing Gear,Composite,44,Used,Europe,Embraer,CRJ900
Fuselage,Composite,36,New,Africa,Bombardier,Citation X
Landing Gear,Composite,26,Used,Australia,Boeing,737
Wing,Steel,44,Used,Europe,Embraer,Citation X
Fuselage,Composite,5,New,Europe,Boeing,G650
Wing,Aluminum,4,New,Australia,Boeing,A320
Landing Gear,Titanium,30,New,Africa,Embraer,Citation X
Fuselage,Steel,34,New,Australia,Bombardier,G650
Fuselage,Aluminum,32,Used,Africa,Cessna,E175
Landing Gear,Composite,36,New,North America,Gulfstream,CRJ900
Engine,Steel,6,New,Africa,Bombardier,CRJ900
Fuselage,Aluminum,43,New,Europe,Bombardier,Citation X
Wing,Steel,34,New,Australia,Airbus,737
Wing,Composite,44,Used,South America,Embraer,Citation X
Engine,Steel,22,Used,South America,Boeing,E175
Wing,Aluminum,2,Used,Africa,Cessna,A320
Avionics,Steel,12,New,North America,Cessna,G650
Fuselage,Composite,17,New,Africa,Embraer,CRJ900
Avionics,Composite,25,New,Europe,Airbus,Citation X
Avionics,Composite,41,Used,Africa,Cessna,G650
Landing Gear,Composite,4,Used,Asia,Boeing,E175
Avionics,Steel,28,Used,Australia,Boeing,E175
Avionics,Titanium,47,New,North America,Airbus,G650
Avionics,Steel,31,Used,Australia,Boeing,Citation X
Landing Gear,Titanium,1,New,Asia,Embraer,E175
Wing,Steel,39,Used,Australia,Embraer,737
Wing,Aluminum,37,Used,Australia,Cessna,737
Wing,Composite,16,New,Europe,Airbus,E175
Avionics,Composite,30,Used,North America,Boeing,737
Avionics,Aluminum,12,Used,Asia,Bombardier,737
Fuselage,Titanium,49,Used,Asia,Gulfstream,737
Engine,Titanium,35,New,Africa,Bombardier,G650
Wing,Aluminum,38,Used,Europe,Boeing,A320
Landing Gear,Composite,9,Used,Africa,Embraer,Citation X
Engine,Composite,12,New,South America,Embraer,737
Landing Gear,Steel,31,New,South America,Airbus,G650
Avionics,Composite,31,New,Africa,Boeing,A320
Fuselage,Steel,10,New,Europe,Cessna,G650
Avionics,Aluminum,38,Used,Europe,Bombardier,CRJ900
Avionics,Steel,9,New,Asia,Embraer,E175
Avionics,Titanium,2,New,North America,Cessna,CRJ900
Engine,Titanium,1,New,Africa,Airbus,E175
Engine,Titanium,22,New,North America,Gulfstream,737
Landing Gear,Steel,11,New,Asia,Gulfstream,A320
Engine,Aluminum,22,Used,Australia,Gulfstream,G650
Fuselage,Titanium,13,New,Africa,Embraer,A320
Wing,Aluminum,37,New,Europe,Embraer,Citation X
Wing,Titanium,37,Used,Australia,Airbus,G650
Wing,Titanium,11,New,South America,Gulfstream,Citation X
Engine,Composite,24,New,Europe,Gulfstream,737
Wing,Composite,18,New,Africa,Gulfstream,737
Avionics,Aluminum,20,New,South America,Gulfstream,A320
Engine,Titanium,3,New,South America,Airbus,Citation X
Engine,Titanium,0,New,Australia,Boeing,G650
Engine,Steel,14,New,Africa,Embraer,737
Fuselage,Titanium,0,New,North America,Gulfstream,E175
Wing,Steel,39,New,Europe,Airbus,CRJ900
Avionics,Composite,32,New,Africa,Bombardier,737
Fuselage,Steel,15,Used,Asia,Airbus,G650
Fuselage,Titanium,42,New,Africa,Boeing,G650
Landing Gear,Steel,40,New,South America,Embraer,E175
Wing,Composite,30,New,North America,Cessna,Citation X
Landing Gear,Steel,7,Used,Asia,Airbus,Citation X
Engine,Aluminum,32,Used,Africa,Embraer,E175
Engine,Titanium,6,Used,Asia,Airbus,E175
Landing Gear,Titanium,20,Used,Europe,Airbus,E175
Fuselage,Titanium,26,New,North America,Embraer,737
Engine,Aluminum,1,New,Africa,Bombardier,Citation X
Fuselage,Aluminum,12,New,Asia,Boeing,A320
Fuselage,Steel,6,Used,Asia,Airbus,737
Engine,Titanium,39,Used,Africa,Airbus,737
Fuselage,Steel,37,Used,South America,Cessna,G650
Avionics,Titanium,45,Used,North America,Boeing,G650
Avionics,Aluminum,24,New,Asia,Gulfstream,G650
Fuselage,Steel,41,Used,Africa,Bombardier,A320
Engine,Aluminum,35,Used,Australia,Embraer,E175
Wing,Titanium,7,Used,South America,Cessna,737
Fuselage,Steel,25,New,Australia,Bombardier,CRJ900
Avionics,Steel,16,Used,North America,Boeing,737
Avionics,Aluminum,31,Used,Africa,Boeing,A320
Wing,Composite,26,Used,South America,Cessna,G650
Fuselage,Steel,4,New,Australia,Bombardier,G650
Fuselage,Steel,36,Used,North America,Bombardier,CRJ900
Landing Gear,Steel,5,New,Africa,Boeing,A320
Avionics,Steel,3,Used,Asia,Bombardier,A320
Avionics,Steel,32,Used,Asia,Gulfstream,737
Landing Gear,Composite,31,New,North America,Gulfstream,E175
Engine,Titanium,2,New,Australia,Cessna,A320
Engine,Titanium,30,New,Africa,Boeing,737
Wing,Aluminum,39,Used,South America,Bombardier,Citation X
Fuselage,Composite,36,Used,Asia,Boeing,G650
Engine,Composite,20,New,South America,Bombardier,CRJ900
Fuselage,Composite,8,New,Africa,Embraer,A320
Landing Gear,Composite,7,Used,Africa,Airbus,CRJ900
Avionics,Titanium,1,New,Africa,Airbus,CRJ900
Wing,Composite,18,Used,North America,Gulfstream,CRJ900
Wing,Titanium,3,Used,Europe,Cessna,G650
Avionics,Aluminum,24,Used,North America,Embraer,CRJ900
Avionics,Steel,11,Used,Asia,Embraer,CRJ900
Avionics,Titanium,48,Used,North America,Gulfstream,Citation X
Wing,Aluminum,48,Used,Asia,Bombardier,CRJ900
Wing,Composite,16,Used,North America,Embraer,737
Avionics,Titanium,5,New,Australia,Embraer,E175
Wing,Titanium,44,New,South America,Embraer,A320
Avionics,Titanium,11,New,South America,Airbus,E175
Wing,Steel,37,New,Australia,Boeing,737
Landing Gear,Steel,23,Used,Australia,Cessna,A320
Engine,Steel,24,Used,Australia,Embraer,737
Avionics,Titanium,27,Used,Australia,Boeing,E175
Fuselage,Aluminum,19,Used,Asia,Airbus,CRJ900
Landing Gear,Steel,25,Used,North America,Airbus,E175
Engine,Aluminum,11,New,Europe,Bombardier,737
Wing,Steel,31,Used,Asia,Gulfstream,G650
Landing Gear,Titanium,34,New,Africa,Gulfstream,E175
Wing,Composite,41,Used,Asia,Airbus,A320
Fuselage,Steel,38,Used,Australia,Embraer,Citation X
Avionics,Composite,13,Used,Australia,Embraer,A320
Engine,Steel,35,New,Asia,Cessna,737
Fuselage,Steel,20,Used,North America,Bombardier,CRJ900
Landing Gear,Aluminum,5,New,Europe,Gulfstream,Citation X
Avionics,Aluminum,49,Used,Europe,Embraer,CRJ900
Wing,Composite,44,New,North America,Bombardier,G650
Landing Gear,Composite,34,New,South America,Cessna,E175
Fuselage,Aluminum,37,New,Africa,Gulfstream,A320
Engine,Composite,8,New,South America,Cessna,Citation X
Landing Gear,Titanium,12,New,Australia,Boeing,Citation X
Avionics,Composite,9,New,Africa,Boeing,Citation X
Wing,Titanium,25,Used,North America,Airbus,A320
Wing,Steel,48,New,Australia,Bombardier,G650
Landing Gear,Steel,25,Used,Australia,Boeing,A320
Fuselage,Aluminum,12,New,Australia,Embraer,E175
Wing,Composite,6,Used,Australia,Bombardier,E175
Wing,Aluminum,42,Used,North America,Embraer,E175
Fuselage,Composite,15,New,Africa,Embraer,A320
Fuselage,Titanium,9,Used,Asia,Gulfstream,A320
Landing Gear,Composite,3,Used,Africa,Airbus,Citation X
Wing,Aluminum,6,Used,North America,Boeing,A320
Avionics,Steel,29,Used,Asia,Boeing,Citation X
Fuselage,Titanium,39,Used,Asia,Airbus,Citation X
Fuselage,Composite,33,New,North America,Cessna,A320
Landing Gear,Aluminum,41,New,South America,Airbus,Citation X
Wing,Aluminum,42,Used,Asia,Gulfstream,G650
Avionics,Titanium,25,New,North America,Embraer,Citation X
Wing,Titanium,26,New,Australia,Cessna,Citation X
Engine,Titanium,26,New,Africa,Cessna,G650
Fuselage,Titanium,44,New,South America,Embraer,E175
Engine,Titanium,30,New,Europe,Boeing,E175
Avionics,Composite,11,New,Africa,Cessna,Citation X
Avionics,Composite,0,New,North America,Airbus,E175
Landing Gear,Steel,49,New,Australia,Cessna,A320
Fuselage,Aluminum,31,Used,Africa,Gulfstream,A320
Fuselage,Composite,22,New,Asia,Boeing,CRJ900
Fuselage,Aluminum,19,Used,Asia,Embraer,Citation X
Wing,Composite,17,Used,North America,Embraer,Citation X
Landing Gear,Titanium,14,Used,Europe,Embraer,Citation X
Wing,Composite,5,New,Asia,Gulfstream,G650
Landing Gear,Steel,33,Used,Africa,Cessna,G650
Fuselage,Composite,44,Used,Asia,Boeing,G650
Wing,Aluminum,2,New,Europe,Embraer,CRJ900
Fuselage,Composite,40,New,Australia,Gulfstream,CRJ900
Fuselage,Composite,20,Used,Australia,Embraer,A320
Fuselage,Steel,14,New,Europe,Cessna,737
Avionics,Aluminum,44,Used,South America,Embraer,G650
Wing,Titanium,26,New,Europe,Airbus,737
Engine,Composite,5,Used,South America,Gulfstream,E175
Engine,Steel,13,New,Australia,Airbus,E175
Avionics,Titanium,19,New,North America,Gulfstream,CRJ900
Landing Gear,Steel,42,Used,Europe,Boeing,E175
Engine,Steel,34,Used,South America,Bombardier,G650
Fuselage,Steel,11,New,Australia,Embraer,CRJ900
Landing Gear,Steel,15,New,Asia,Airbus,G650
Wing,Steel,27,New,Africa,Bombardier,G650
Engine,Steel,7,New,South America,Gulfstream,E175
Avionics,Titanium,41,Used,North America,Gulfstream,A320
Wing,Composite,19,Used,Africa,Embraer,G650
Landing Gear,Aluminum,33,New,South America,Boeing,737
Fuselage,Composite,10,New,South America,Embraer,E175
Landing Gear,Steel,32,Used,Europe,Cessna,CRJ900
Engine,Steel,31,Used,Europe,Cessna,737
Avionics,Titanium,14,Used,Africa,Cessna,G650
Fuselage,Steel,3,Used,Asia,Cessna,737
Wing,Composite,35,New,North America,Airbus,CRJ900
Avionics,Titanium,20,New,North America,Bombardier,CRJ900
Engine,Titanium,30,New,Asia,Gulfstream,E175
Fuselage,Composite,20,Used,North America,Gulfstream,A320
Landing Gear,Titanium,43,New,Australia,Bombardier,CRJ900
Landing Gear,Titanium,22,Used,Australia,Airbus,G650
Avionics,Titanium,22,New,North America,Embraer,Citation X
Fuselage,Aluminum,32,New,Europe,Gulfstream,A320
Engine,Aluminum,49,New,Europe,Bombardier,Citation X
Avionics,Titanium,14,Used,Asia,Embraer,E175
Engine,Composite,10,New,Asia,Cessna,G650
Landing Gear,Steel,33,Used,North America,Gulfstream,Citation X
Avionics,Titanium,39,Used,North America,Bombardier,737
Engine,Composite,31,Used,Asia,Embraer,Citation X
Fuselage,Titanium,11,New,Australia,Boeing,G650
Fuselage,Aluminum,32,Used,Europe,Airbus,G650
Avionics,Aluminum,29,New,North America,Embraer,CRJ900
Fuselage,Composite,10,Used,North America,Bombardier,CRJ900
Avionics,Aluminum,32,Used,Europe,Bombardier,737
Wing,Titanium,3,Used,Africa,Gulfstream,CRJ900
Engine,Aluminum,39,New,Asia,Airbus,Citation X
Wing,Aluminum,9,Used,Australia,Gulfstream,737
Engine,Steel,29,New,South America,Gulfstream,E175
Landing Gear,Composite,49,Used,Africa,Airbus,Citation X
Fuselage,Titanium,17,New,Australia,Gulfstream,CRJ900
Wing,Titanium,20,New,Africa,Boeing,G650
Fuselage,Steel,31,Used,Asia,Cessna,G650
Fuselage,Composite,30,Used,Europe,Embraer,A320
Landing Gear,Composite,12,Used,Africa,Airbus,E175
Avionics,Composite,33,New,South America,Gulfstream,Citation X
Wing,Composite,3,Used,Asia,Boeing,CRJ900
Engine,Composite,19,Used,South America,Airbus,E175
